Level,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
35,"len",3,0.00,0.00,0.00,0.00,"builtins",
33,"sre_parse.SubPattern.__init__",3,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"list.append",14,0.00,0.00,0.00,0.00,"Unidentifiable Method",
33,"list.insert",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"sre_parse.Tokenizer.match",3,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"sre_parse.__next",2,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"sre_parse.SubPattern.__len__",3,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"len",3,0.00,0.00,0.00,0.00,"builtins",
32,"sre_parse.SubPattern.__getitem__",3,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"isinstance",3,0.00,0.00,0.00,0.00,"builtins",
32,"len",2,0.00,0.00,0.00,0.00,"builtins",
33,"sre_parse.SubPattern.__len__",1,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"len",1,0.00,0.00,0.00,0.00,"builtins",
32,"sre_parse.SubPattern.__init__",1,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"sre_parse.SubPattern.append",1,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"list.append",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
32,"sre_parse.Tokenizer.tell",1,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"len",1,0.00,0.00,0.00,0.00,"builtins",
32,"list.append",3,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"sre_parse.State.closegroup",1,0.00,0.00,0.01,0.00,"sre_parse.py",
32,"sre_parse.SubPattern.getwidth",1,0.00,0.00,0.01,0.00,"sre_parse.py",
33,"sre_parse.SubPattern.getwidth",3,0.00,0.00,0.00,0.00,"sre_parse.py",
34,"sre_parse.SubPattern.getwidth",6,0.00,0.00,0.00,0.00,"sre_parse.py",
35,"min",12,0.00,0.00,0.00,0.00,"builtins",
34,"min",6,0.00,0.00,0.00,0.00,"builtins",
33,"min",5,0.00,0.00,0.00,0.00,"builtins",
33,"max",3,0.00,0.00,0.00,0.00,"builtins",
31,"sre_parse.Tokenizer.match",2,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"sre_parse.__next",1,0.00,0.00,0.00,0.00,"sre_parse.py",
31,"sre_parse.State.opengroup",1,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"sre_parse.groups",2,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"len",2,0.00,0.00,0.00,0.00,"builtins",
32,"list.append",1,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"sre_parse.Tokenizer.get",2,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"sre_parse.__next",2,0.00,0.00,0.00,0.00,"sre_parse.py",
31,"sre_parse.SubPattern.append",2,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"list.append",2,0.00,0.00,0.00,0.00,"Unidentifiable Method",
31,"sre_parse.SubPattern.__getitem__",2,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"isinstance",2,0.00,0.00,0.00,0.00,"builtins",
31,"sre_parse.SubPattern.__init__",1,0.00,0.00,0.00,0.00,"sre_parse.py",
31,"len",1,0.00,0.00,0.00,0.00,"builtins",
32,"sre_parse.SubPattern.__len__",1,0.00,0.00,0.00,0.00,"sre_parse.py",
33,"len",1,0.00,0.00,0.00,0.00,"builtins",
31,"ord",1,0.00,0.00,0.00,0.00,"builtins",
31,"sre_parse.Tokenizer.tell",1,0.00,0.00,0.00,0.00,"sre_parse.py",
32,"len",1,0.00,0.00,0.00,0.00,"builtins",
30,"sre_parse.Tokenizer.tell",1,0.00,0.00,0.00,0.00,"sre_parse.py",
31,"len",1,0.00,0.00,0.00,0.00,"builtins",
