Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Callee","__build_class__","bottle.StplParser",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.StplSyntaxError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.TemplateError",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.TemplatePlugin",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.TornadoServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.TwistedServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.WaitressServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.WSGIFileWrapper",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.WSGIHeaderDict",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bottle.WSGIRefServer",1,0.00,0.00,0.00,0.00,"bottle.py",
"Callee","__build_class__","bz2.BZ2File",1,0.00,0.00,0.00,0.00,"bz2.py",
"Callee","__build_class__","calendar._localized_day",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar._localized_month",1,0.00,0.00,0.01,0.00,"calendar.py",
"Callee","__build_class__","calendar.Calendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.different_locale",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.HTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.IllegalMonthError",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.IllegalWeekdayError",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.LocaleHTMLCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.LocaleTextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","calendar.TextCalendar",1,0.00,0.00,0.00,0.00,"calendar.py",
"Callee","__build_class__","cmd.Cmd",1,0.00,0.00,0.00,0.00,"cmd.py",
"Callee","__build_class__","code.InteractiveConsole",1,0.00,0.00,0.00,0.00,"code.py",
"Callee","__build_class__","code.InteractiveInterpreter",1,0.00,0.00,0.00,0.00,"code.py",
