Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"<frozen importlib._check_name_wrapper",89,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.<genexpr>",64,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"enum.__and__",54,0.01,0.00,0.00,0.00,"enum.py",
"str.format",101,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_parse.SubPattern.__len__",684,0.00,0.00,0.00,0.00,"sre_parse.py",
"urllib.parse (module)",1,0.02,0.00,0.31,0.04,"parse.py",
"sre_parse._class_escape",113,0.00,0.00,0.00,0.00,"sre_parse.py",
"sre_parse.SubPattern.append",500,0.00,0.00,0.00,0.00,"sre_parse.py",
"str.isupper",864,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"<frozen importlib.find_spec",103,0.77,0.00,0.11,0.00,"(frozen importlib._bootstrap_external)",
"<frozen importlib.SourceFileLoader.path_stats",89,0.06,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"random (module)",1,0.06,0.00,0.82,0.04,"random.py",
"_sre.compile",54,0.00,0.00,0.00,0.00,"_sre",
"sre_parse._escape",99,0.00,0.00,0.00,0.00,"sre_parse.py",
"<frozen importlib.parent",127,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib.FileFinder._fill_cache",8,0.02,0.00,0.03,0.00,"(frozen importlib._bootstrap_external)",
"enum._create_",12,0.07,0.00,0.09,0.00,"enum.py",
"<frozen importlib.ModuleSpec.__init__",119,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"datetime (module)",1,0.02,0.00,0.33,0.04,"datetime.py",
"ssl (module)",1,0.25,0.00,3.51,0.04,"ssl.py",
"type.maketrans",2,0.00,0.00,0.02,0.02,"Unidentifiable Method",
"type.from_bytes",267,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"app (module)",1,100.00,0.00,"1,420.26",0.03,"app.py",
"selectors (module)",1,0.07,0.00,1.03,0.03,"selectors.py",
"sre_parse.Tokenizer.__init__",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"stringprep (module)",1,0.00,0.00,0.03,0.03,"stringprep.py",
"selectors.select",4,70.69,0.00,250.99,0.01,"selectors.py",
"datetime.__new__",12,0.00,0.00,0.00,0.00,"datetime.py",
"_ssl.txt2obj",4,0.00,0.00,0.01,0.01,"_ssl",
"<frozen importlib._ModuleLockManager.__exit__",123,0.01,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"shutil (module)",1,0.27,0.00,3.80,0.03,"shutil.py",
"selectors._select",4,70.69,0.00,250.98,0.01,"selectors.py",
"sre_compile._code",54,0.12,0.00,0.03,0.00,"sre_compile.py",
"enum._is_descriptor",263,0.00,0.00,0.00,0.00,"enum.py",
"functools.update_wrapper",38,0.01,0.00,0.00,0.00,"functools.py",
"email.charset (module)",1,0.15,0.00,2.19,0.03,"charset.py",
"<frozen importlib._ImportLockContext.__exit__",328,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"<frozen importlib._path_isfile",110,0.10,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"pdb (module)",1,0.20,0.00,2.88,0.03,"pdb.py",
"enum.__new__",122,0.01,0.00,0.00,0.00,"enum.py",
"enum._convert_",12,0.11,0.00,0.13,0.00,"enum.py",
"enum._decompose",4,0.00,0.00,0.01,0.01,"enum.py",
"<frozen importlib._ImportLockContext.__enter__",328,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"dict.update",43,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"socket.listen",1,0.00,0.00,0.03,0.03,"Unidentifiable Method",
"enum._find_new_",20,0.00,0.00,0.00,0.00,"enum.py",
"sre_parse.State.opengroup",81,0.00,0.00,0.00,0.00,"sre_parse.py",
"_thread.lock.__exit__",254,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"socket.close",1,0.00,0.00,0.03,0.03,"Unidentifiable Method",
"<frozen importlib._ModuleLockManager.__init__",123,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"enum.__prepare__",20,0.01,0.00,0.01,0.00,"enum.py",
"email._policybase._extend_docstrings",1,0.00,0.00,0.05,0.03,"_policybase.py",
"re.Pattern.match",108,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"email.quoprimime.<listcomp>",1,0.00,0.00,0.03,0.03,"quoprimime.py",
"dict.pop",112,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"hmac (module)",1,0.15,0.00,2.15,0.03,"hmac.py",
"<frozen importlib._path_hooks",8,0.02,0.00,0.04,0.00,"(frozen importlib._bootstrap_external)",
"bottle.Router.add",6,0.02,0.00,0.05,0.00,"bottle.py",
"bottle.Router._itertokens",14,0.00,0.00,0.00,0.00,"bottle.py",
"__import__",13,0.38,0.00,0.41,0.00,"builtins",
"list.extend",112,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"http.cookies (module)",1,0.05,0.00,0.74,0.03,"cookies.py",
"weakref.finalize",1,0.00,0.00,0.03,0.02,"weakref.py",
"_abc._abc_subclasscheck",7,0.00,0.00,0.01,0.00,"_abc",
"_thread.get_ident",251,0.00,0.00,0.00,0.00,"_thread",
"socket.<lambda>",207,0.00,0.00,0.00,0.00,"socket.py",
"sre_parse.fix_flags",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"bottle.run",1,86.78,0.00,"1,232.56",0.02,"bottle.py",
"subprocess (module)",1,0.04,0.00,0.54,0.02,"subprocess.py",
"mappingproxy.get",390,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"json (module)",1,9.87,0.00,140.19,0.02,"__init__.py",
"abc.__new__",37,0.03,0.00,0.01,0.00,"abc.py",
"<frozen importlib.ExtensionFileLoader.create_module",7,0.47,0.00,0.95,0.00,"(frozen importlib._bootstrap_external)",
"enum._get_mixins_",52,0.01,0.00,0.00,0.00,"enum.py",
"<frozen importlib.find_spec",119,0.01,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"sre_compile._get_charset_prefix",40,0.00,0.00,0.00,0.00,"sre_compile.py",
"datetime.datetime",1,0.00,0.00,0.02,0.02,"datetime.py",
"pickle (module)",1,0.07,0.00,1.05,0.02,"pickle.py",
"threading.Thread",1,0.00,0.00,0.02,0.02,"threading.py",
"sre_parse.SubPattern.__setitem__",138,0.00,0.00,0.00,0.00,"sre_parse.py",
"<frozen importlib.spec_from_loader",16,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap)",
"list.sort",16,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"sre_compile._simple",129,0.00,0.00,0.00,0.00,"sre_compile.py",
"<frozen zipimport>.zipimporter.__init__",8,0.01,0.00,0.01,0.00,"(frozen zipimport)",
"abc.__subclasscheck__",7,0.00,0.00,0.02,0.00,"abc.py",
"<frozen importlib.FileLoader.__init__",89,0.00,0.00,0.00,0.00,"(frozen importlib._bootstrap_external)",
"set.add",231,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"socket.<lambda>",209,0.00,0.00,0.00,0.00,"socket.py",
"sre_compile._combine_flags",123,0.00,0.00,0.00,0.00,"sre_compile.py",
"socket.<lambda>",210,0.00,0.00,0.00,0.00,"socket.py",
"_hashlib.openssl_md5",1,0.00,0.00,0.02,0.02,"_hashlib",
"http.cookies.<dictcomp>",1,0.00,0.00,0.02,0.02,"cookies.py",
"email.quoprimime (module)",1,0.06,0.00,0.90,0.02,"quoprimime.py",
"http.client (module)",1,0.52,0.00,7.36,0.02,"client.py",
"sre_parse.groups",270,0.00,0.00,0.00,0.00,"sre_parse.py",
"<frozen importlib.FileFinder.__init__",8,0.01,0.00,0.01,0.00,"(frozen importlib._bootstrap_external)",
"json.decoder (module)",1,0.05,0.00,0.74,0.02,"decoder.py",
"ord",559,0.00,0.00,0.00,0.00,"builtins",
"dir",2,0.00,0.00,0.01,0.01,"builtins",
"enum.<dictcomp>",20,0.00,0.00,0.00,0.00,"enum.py",
"dis (module)",1,0.04,0.00,0.54,0.02,"dis.py",
"sre_parse.State.__init__",54,0.00,0.00,0.00,0.00,"sre_parse.py",
"sre_parse.Tokenizer.getuntil",22,0.00,0.00,0.00,0.00,"sre_parse.py",
"dict.items",342,0.00,0.00,0.00,0.00,"Unidentifiable Method",
"threading (module)",1,0.03,0.00,0.46,0.02,"threading.py",
